"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","0.47u","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"C2,C3","33n","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","2",""
"C4,C7","10n","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","2",""
"C5","680n","~","Capacitor_THT:C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4","1",""
"C6","10u","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"C8","68n","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C9,C10,C13,C14,C15,C16,C19","100n","~","-- mixed values --","7",""
"C11,C12","1000u","~","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","2",""
"C17","220u","~","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","1",""
"C18","33u","~","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1",""
"C22","47n","~","Capacitor_THT:C_Rect_L11.5mm_W5.1mm_P10.00mm_MKT","1",""
"D1,D2,D3,D4","1N4007","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","4",""
"J2,J3","AudioJack3_SwitchTR","~","Connector_Audio:Jack_3.5mm_Ledino_KB3SPRS_Horizontal","2",""
"J4","OSTTC030162","OSTTC030162","powerrbaseeed:CONN_OSTTC030162_OST","1",""
"R1,R3,R4,R5,R6,R7,R10,R11,RV1,RV2,RV3","1k","~","-- mixed values --","11",""
"R2","1.2k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R8,R9,RV4","10k","~","-- mixed values --","3",""
"R13,R15,R16,R17","100","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"R19","10","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"U1,U3","TL072","","TL072_foot:TL072_foot","2",""
"U2","LM7812_TO220","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U4","LM7912_TO220","hhttps://www.onsemi.com/pub/Collateral/MC7900-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U5","LM386","http://www.ti.com/lit/ds/symlink/lm386.pdf","LM386:LM386_foot","1",""
